index,year,month,day,hour,minute,second,past_Humid,past_Temp,Target_Humid
1,2020,01,05,10,13,32,36.0,34.7,35.0
2,2020,01,05,10,13,50,35.0,34.4,35.0
3,2020,01,05,10,14,08,35.0,34.4,35.0
4,2020,01,05,10,14,23,35.0,34.4,35.0
5,2020,01,05,10,14,40,35.0,34.4,35.0
6,2020,01,05,10,14,55,35.0,34.5,35.0
7,2020,01,05,10,15,10,35.0,34.5,35.0
8,2020,01,05,10,15,25,35.0,34.5,35.0
9,2020,01,05,10,15,41,35.0,34.5,35.0
10,2020,01,05,10,15,57,35.0,34.5,34.0
11,2020,01,05,10,16,12,34.0,34.5,34.0
12,2020,01,05,10,16,27,34.0,34.5,34.0
13,2020,01,05,10,16,43,34.0,34.4,34.0
14,2020,01,05,10,16,58,34.0,34.5,34.0
15,2020,01,05,10,17,13,34.0,34.4,34.0
16,2020,01,05,10,17,28,34.0,34.4,34.0
17,2020,01,05,10,17,46,34.0,34.4,34.0
18,2020,01,05,10,18,10,34.0,34.4,34.0
19,2020,01,05,10,18,26,34.0,34.5,34.0
20,2020,01,05,10,18,42,34.0,34.4,34.0
21,2020,01,05,10,18,58,34.0,34.4,34.0
22,2020,01,05,10,19,13,34.0,34.4,34.0
23,2020,01,05,10,19,29,34.0,34.4,34.0
24,2020,01,05,10,19,45,34.0,34.4,34.0
25,2020,01,05,10,20,00,34.0,34.5,34.0
26,2020,01,05,10,20,17,34.0,34.4,34.0
27,2020,01,05,10,20,40,34.0,34.5,34.0
28,2020,01,05,10,20,55,34.0,34.5,34.0
29,2020,01,05,10,21,13,34.0,34.5,34.0
30,2020,01,05,10,21,28,34.0,34.5,34.0
31,2020,01,05,10,21,59,34.0,34.5,34.0
32,2020,01,05,10,22,15,34.0,34.5,34.0
33,2020,01,05,10,22,32,34.0,34.5,34.0
34,2020,01,05,10,22,55,34.0,34.5,34.0
35,2020,01,05,10,23,12,34.0,34.5,34.0
36,2020,01,05,10,23,27,34.0,34.5,34.0
37,2020,01,05,10,23,42,34.0,34.5,34.0
38,2020,01,05,10,24,04,34.0,34.5,34.0
39,2020,01,05,10,24,25,34.0,34.5,34.0
40,2020,01,05,10,24,43,34.0,34.5,34.0
41,2020,01,05,10,25,00,34.0,34.5,34.0
42,2020,01,05,10,25,18,34.0,34.5,34.0
43,2020,01,05,10,25,36,34.0,34.5,34.0
44,2020,01,05,10,25,52,34.0,34.5,34.0
45,2020,01,05,10,26,09,34.0,34.5,34.0
46,2020,01,05,10,26,26,34.0,34.5,34.0
47,2020,01,05,10,26,42,34.0,34.5,34.0
48,2020,01,05,10,26,59,34.0,34.5,34.0
49,2020,01,05,10,27,15,34.0,34.5,34.0
50,2020,01,05,10,27,33,34.0,34.5,34.0
51,2020,01,05,10,27,48,34.0,34.5,34.0
52,2020,01,05,10,28,03,34.0,34.5,34.0
53,2020,01,05,10,28,20,34.0,34.5,34.0
54,2020,01,05,10,28,38,34.0,34.5,34.0
55,2020,01,05,10,28,54,34.0,34.5,34.0
56,2020,01,05,10,29,11,34.0,34.5,34.0
57,2020,01,05,10,29,29,34.0,34.5,34.0
58,2020,01,05,10,29,45,34.0,34.5,34.0
59,2020,01,05,10,30,03,34.0,34.5,34.0
60,2020,01,05,10,30,22,34.0,34.5,34.0
61,2020,01,05,10,30,38,34.0,34.5,34.0
62,2020,01,05,10,30,54,34.0,34.5,35.0
63,2020,01,05,10,31,11,35.0,34.5,35.0
64,2020,01,05,10,31,28,35.0,34.6,35.0
65,2020,01,05,10,31,45,35.0,34.6,35.0
66,2020,01,05,10,32,03,35.0,34.6,35.0
67,2020,01,05,10,32,26,35.0,34.6,35.0
68,2020,01,05,10,32,42,35.0,34.6,35.0
69,2020,01,05,10,32,59,35.0,34.6,35.0
70,2020,01,05,10,33,20,35.0,34.6,35.0
71,2020,01,05,10,33,35,35.0,34.6,35.0
72,2020,01,05,10,33,51,35.0,34.6,35.0
73,2020,01,05,10,34,08,35.0,34.6,35.0
74,2020,01,05,10,34,25,35.0,34.6,35.0
75,2020,01,05,10,34,40,35.0,34.6,35.0
76,2020,01,05,10,34,57,35.0,34.6,35.0
77,2020,01,05,10,35,14,35.0,34.6,35.0
78,2020,01,05,10,35,35,35.0,34.6,35.0
79,2020,01,05,10,35,51,35.0,34.6,35.0
80,2020,01,05,10,36,08,35.0,34.6,35.0
81,2020,01,05,10,36,23,35.0,34.6,35.0
82,2020,01,05,10,36,39,35.0,34.6,35.0
83,2020,01,05,10,36,57,35.0,34.6,35.0
84,2020,01,05,10,37,17,35.0,34.6,35.0
85,2020,01,05,10,37,35,35.0,34.6,36.0
86,2020,01,05,10,37,50,36.0,34.6,36.0
87,2020,01,05,10,38,12,36.0,34.6,36.0
88,2020,01,05,10,38,28,36.0,34.6,36.0
89,2020,01,05,10,38,51,36.0,34.6,36.0
90,2020,01,05,10,39,06,36.0,34.6,36.0
91,2020,01,05,10,39,28,36.0,34.6,36.0
92,2020,01,05,10,39,43,36.0,34.6,36.0
93,2020,01,05,10,40,01,36.0,34.7,36.0
94,2020,01,05,10,40,20,36.0,34.6,36.0
95,2020,01,05,10,40,39,36.0,34.7,36.0
96,2020,01,05,10,41,01,36.0,34.7,36.0
97,2020,01,05,10,41,20,36.0,34.7,36.0
98,2020,01,05,10,41,45,36.0,34.7,36.0
99,2020,01,05,10,42,02,36.0,34.7,36.0
100,2020,01,05,10,42,19,36.0,34.7,36.0
